,productname,price,processor,RAM,os,display,rating
0,CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,"₹15,990",intel core i5 processor (12th gen),16 gb ddr5 ram,"windows 11, microsoft office",40.64 cm (16 inch) display,3.7
1,HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,"₹99,990",intel core i7 processor (12th gen),16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.5
2,Acer Swift Go 14 Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) SFG14-01-X9C8 Thin and Light L...,"₹64,990",amd ryzen 5 hexa core processor,16 gb ddr5 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.2
3,Lenovo IdeaPad Slim 5 WUXGA IPS AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14I...,"₹68,990",amd ryzen 7 octa core processor,16 gb ddr4 ram,64 bit windows 11 operating system,35.56 cm (14 inch) display,4.2
4,Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,"₹62,490",amd ryzen 5 hexa core processor,16 gb lpddr4x ram,windows 11 operating system,35.56 cm (14 inch) touchscreen display,4.4
5,HP OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,"₹1,27,490",intel core i5 processor (11th gen),8 gb ddr4 ram,64 bit windows 10 operating system,39.62 cm (15.6 inch) display,4
6,DELL Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) Vostro 3530 Thin and Light Lapt...,"₹52,990",intel core i5 processor (12th gen),8 gb ddr4 ram,64 bit windows 11 operating system,39.62 cm (15.6 inch) display,3.8
7,Acer Swift Go 14 TouchScreen AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-...,"₹79,990",intel core i5 processor (13th gen),8 gb ddr5 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.3
8,HP Pavilion Aero AMD Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU Thin and...,"₹71,990",intel core 5 processor,16 gb lpddr4x ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.2
9,Lenovo IdeaPad Slim 5 Co-Pilot PC Snapdragon X Plus - (16 GB/1 TB SSD/Windows 11 Home) 14Q8X9 Thin and...,"₹64,990",intel core i5 processor (13th gen),16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.1
10,HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,"₹46,490",intel core i5 processor (7th gen),8 gb ddr4 ram,64 bit windows 10 operating system,39.62 cm (15.6 inch) display,4.2
11,CHUWI Intel Celeron Quad Core 12th Gen N100 - (8 GB/256 GB SSD/Windows 11 Home) GemiBook X_Pro Laptop,"₹17,990",amd ryzen 5 quad core processor,16 gb lpddr5 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.1
12,SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,"₹56,990",amd ryzen 5 quad core processor,16 gb lpddr5 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.5
13,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹52,990",intel core i5 processor (13th gen),16 gb ddr4 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.3
14,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹55,990",intel core i5 processor (11th gen),8 gb ddr4 ram,64 bit windows 10 operating system,35.56 cm (14 inch) display,4.3
15,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA Ge...,"₹54,990",Not Available,Not Available,Not Available,Not Available,4.3
16,HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,"₹41,000",intel core i7 processor (13th gen),16 gb ddr5 ram,64 bit windows 11 operating system,40.89 cm (16.1 inch) display,4.2
17,Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,"₹62,990",amd ryzen 5 quad core processor,16 gb lpddr5 ram,windows 11 operating system,39.62 cm (15.6 inch) display,4.3
18,HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0111TU Thin and Light Laptop,"₹44,999",amd ryzen 3 quad core processor,8 gb unified memory ram,windows 11,34.54 cm (13.6 inch) display,4.2
